StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Role Clarity 1,Role Clarity 2,Role Clarity 3,Role Clarity 4,Role Clarity 5,Level of Engagement 1,Level of Engagement 2,Level of Engagement 3,Level of Engagement 4,Level of Engagement 5,Level of Engagement 6,Level of Engagement 7,Level of Engagement 8,Attention Check,Level of Engagement 9,Turnover Intention 1,Turnover Intention 2,Turnover Intention 3,Turnover Intention 4,Turnover Intention 5,Office Location,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Worker Wellbeing 1,Worker Wellbeing 2,Worker Wellbeing 3,Worker Wellbeing 4,Worker Wellbeing 5,Worker Wellbeing 6,Worker Wellbeing 7,Worker Wellbeing 8,Manager Support 1,Manager Support 2,Manager Support 3,Manager Support 4,Manager Support 5,Manager Support 6,Manager Support 7,Manager Support 8,Manager Support 9,Manager Support 10,Year Born,Gender,Ethnicity,V8_1,V8_2,V8_3,V8_4,V8_5
6/17/22 8:03,6/17/22 8:24,0,174.198.192.77,100,1240,1,6/17/22 8:24,R_pDUMbWD1Jt1p0l3,,,,,27.2606,-80.4771,anonymous,EN,1,strongly disagree,strongly agree,agree,strongly agree,strongly disagree,2,7,6,3,1,4,1,6,196,4,6,2,7,6,7,1,7,3,3,6,4,4,4,6,6,,,,,,,,,,2,7,2,4,2,6,2,6,2,3,3,6,4,1,7,3,5,5,2002,Non-Binary,7,,,,,
6/17/22 8:13,6/17/22 8:26,0,47.189.157.54,100,768,1,6/17/22 8:26,R_3KuBgkoi8pH4EbH,,,,,33.0326,-96.7859,anonymous,EN,1,slightly agree,slightly disagree,strongly disagree,strongly disagree,strongly agree,2,7,6,5,3,7,5,4,12,3,2,4,7,3,3,1,3,5,5,5,2,5,5,2,1,,,,,,,,,,1,5,4,5,6,2,5,6,1,4,7,6,2,4,4,1,5,1,1987,Non-Binary,6,,,,,
6/17/22 8:22,6/17/22 8:30,0,68.32.132.110,100,489,1,6/17/22 8:30,R_UcNLLQokl89FBmh,,,,,42.5418,-83.213,anonymous,EN,1,neutral,disagree,slightly agree,slightly disagree,slightly agree,3,3,5,7,5,3,3,4,12,5,1,2,1,7,5,1,2,5,3,1,2,5,5,4,2,,,,,,,,,,6,2,2,7,6,3,2,7,5,2,7,2,7,6,7,3,2,4,1993,Male,3,7,7,7,7,7
6/17/22 8:20,6/17/22 8:35,0,74.99.66.220,100,859,1,6/17/22 8:35,R_2fe2Etnww8Vc0wK,,,,,36.8848,-76.1472,anonymous,EN,1,disagree,slightly disagree,agree,strongly disagree,neutral,5,3,1,1,7,3,6,4,12,6,1,6,2,4,6,1,1,6,4,3,1,5,6,3,6,,,,,,,,,,5,5,4,3,7,6,2,7,7,4,3,2,5,5,5,6,6,2,1994,Female,1,7,7,7,7,7
6/17/22 8:24,6/17/22 8:36,0,72.197.173.133,100,720,1,6/17/22 8:36,R_s5Tbxn2AuslCZ5T,,,,,32.7449,-117.165,anonymous,EN,1,strongly disagree,slightly disagree,disagree,agree,disagree,4,4,2,7,6,3,2,2,12,6,4,7,7,1,3,1,3,5,5,2,6,4,5,7,7,,,,,,,,,,1,7,1,5,2,7,6,2,2,3,4,2,6,3,1,7,7,1,1997,Male,5,,,,,
6/17/22 8:21,6/17/22 8:41,0,174.246.139.151,100,1188,1,6/17/22 8:41,R_2Y9RrM7oESe126v,,,,,32.9503,-96.819,anonymous,EN,1,strongly disagree,slightly disagree,disagree,disagree,slightly disagree,1,4,5,2,3,7,3,1,12,6,2,3,7,4,1,1,2,1,2,7,1,6,1,,4,,,,,,,,,,5,4,5,5,7,5,5,1,7,4,5,6,6,5,1,6,3,1,1994,Female,1,,,,,
6/17/22 8:50,6/17/22 8:54,0,174.246.139.152,100,234,1,6/17/22 8:54,R_1poKVpkNboDAgL5,,,,,28.3939,-81.4216,anonymous,EN,1,agree,neutral,strongly disagree,agree,strongly disagree,1,4,1,4,1,7,2,5,238,5,3,5,2,3,3,1,6,2,5,6,2,5,2,3,1,,,,,,,,,,4,1,3,7,3,5,3,2,6,1,7,6,2,2,1,1,4,7,1986,Male,3,7,7,7,7,7
6/17/22 8:51,6/17/22 9:00,0,174.246.139.153,100,516,1,6/17/22 9:00,R_3Ny15MGBO3SwFFO,,,,,32.6227,-97.1479,anonymous,EN,1,agree,disagree,strongly disagree,agree,strongly disagree,5,7,4,1,4,3,4,3,12,6,6,3,7,2,6,1,3,2,2,5,6,1,5,1,2,,,,,,,,,,2,7,5,1,1,3,7,4,4,1,6,7,6,2,1,4,7,1,1984,Female,7,7,7,7,7,7
6/17/22 8:47,6/17/22 9:01,0,174.246.139.154,100,860,1,6/17/22 9:01,R_DM33OdbkxR35nix,,,,,28.2987,-82.6902,anonymous,EN,1,strongly agree,strongly agree,strongly disagree,slightly disagree,strongly agree,2,3,2,7,7,6,1,2,12,4,3,1,6,5,5,1,1,2,7,2,6,7,2,1,5,,,,,,,,,,5,5,4,4,5,3,2,1,4,3,5,2,6,5,4,2,2,6,1989,Non-Binary,7,,,,,
6/17/22 9:01,6/17/22 9:06,0,174.246.139.155,100,255,1,6/17/22 9:06,R_24rgkFzE2ZIFbPE,,,,,29.1657,-82.1273,anonymous,EN,1,agree,slightly agree,strongly agree,agree,agree,5,4,5,5,7,5,6,6,12,5,6,5,4,5,7,1,2,7,4,1,3,6,6,2,4,,,,,,,,,,6,4,1,1,7,3,3,1,4,7,4,2,2,6,2,2,7,2,1994,Non-Binary,2,7,7,7,7,7
6/17/22 8:56,6/17/22 9:06,0,75.24.121.248,100,632,1,6/17/22 9:06,R_3h9Ykbj4QJWNfZF,,,,,32.8548,-97.0819,anonymous,EN,1,slightly disagree,neutral,strongly disagree,disagree,strongly disagree,6,4,1,6,4,2,1,2,12,7,7,6,7,2,1,1,3,6,1,6,3,6,6,7,4,,,,,,,,,,5,1,1,6,5,1,5,5,1,2,5,5,2,3,3,6,3,7,1991,Male,1,7,7,7,7,7
6/17/22 9:04,6/17/22 9:09,0,68.58.112.24,100,313,1,6/17/22 9:09,R_3g4O8qxQXKwEUOo,,,,,39.8996,-86.1692,anonymous,EN,1,neutral,neutral,slightly disagree,slightly agree,slightly agree,5,5,3,4,1,6,3,2,12,7,7,1,6,5,1,1,2,1,1,7,1,4,6,2,3,,,,,,,,,,3,7,3,7,1,4,2,4,2,1,7,5,7,2,3,3,2,4,1986,Non-Binary,1,7,7,7,7,7
6/17/22 9:08,6/17/22 9:16,0,69.136.37.159,100,451,1,6/17/22 9:16,R_1QaURQpQHlsTdSX,,,,,32.0773,-81.0901,anonymous,EN,1,strongly agree,agree,strongly agree,strongly agree,,5,5,2,1,5,5,7,7,12,6,7,2,7,5,1,1,4,5,2,4,6,4,5,6,6,,,,,,,,,,5,6,1,6,4,7,6,4,7,1,4,7,5,3,2,5,4,2,1985,Female,1,,,,,
6/17/22 9:09,6/17/22 9:19,0,73.87.89.175,100,587,1,6/17/22 9:19,R_6Kb8DXDU3a4P4lP,,,,,38.8672,-77.6488,anonymous,EN,1,agree,slightly disagree,slightly disagree,strongly agree,disagree,2,1,2,6,4,1,4,3,12,2,3,1,1,3,4,1,6,2,6,2,1,4,7,3,1,,,,,,,,,,3,3,4,1,6,7,4,2,2,5,7,1,7,3,4,6,5,4,1998,Male,3,,,,,
6/17/22 9:15,6/17/22 9:19,0,107.218.126.20,100,229,1,6/17/22 9:19,R_2WG38n6XAu6BF3z,,,,,32.7611,-97.3318,anonymous,EN,1,agree,disagree,strongly disagree,disagree,strongly disagree,1,4,3,2,3,6,2,7,239,2,1,2,6,1,3,1,5,3,6,2,2,3,1,3,4,,,,,,,,,,7,7,5,3,3,1,5,4,6,3,6,4,2,6,1,6,7,4,1994,Female,6,7,7,7,7,7
6/17/22 9:22,6/17/22 9:28,0,72.239.102.248,100,357,1,6/17/22 9:28,R_W3d57byvaQxKmxb,,,,,28.3939,-81.4216,anonymous,EN,1,slightly agree,strongly agree,slightly disagree,strongly agree,strongly agree,5,3,5,7,3,7,7,1,12,4,3,5,4,3,5,1,1,1,2,6,3,7,7,4,3,,,,,,,,,,3,2,6,3,1,1,5,6,5,1,2,1,7,2,4,3,2,6,2002,Non-Binary,2,7,7,7,7,7
6/17/22 9:27,6/17/22 9:36,0,65.129.2.73,100,511,1,6/17/22 9:36,R_2Cv2BLdIpl0HQ9r,,,,,43.5784,-116.2179,anonymous,EN,1,slightly disagree,agree,slightly agree,slightly agree,strongly disagree,3,5,5,3,4,2,1,2,12,6,5,3,6,3,1,1,1,6,6,4,2,7,7,7,2,,,,,,,,,,5,1,2,3,7,3,6,4,6,3,4,2,6,4,5,1,1,4,1989,Non-Binary,3,6,6,7,6,6
6/17/22 9:28,6/17/22 9:37,0,76.103.24.31,100,534,1,6/17/22 9:37,R_3HvMXfperOyE4Sm,,,,,37.8938,-122.5303,anonymous,EN,1,slightly disagree,slightly disagree,agree,strongly disagree,disagree,7,5,1,5,1,4,3,3,12,3,6,2,7,7,5,1,1,2,1,3,4,4,7,3,2,,,,,,,,,,7,5,5,3,7,5,7,7,3,1,5,1,1,1,2,6,1,2,1994,Non-Binary,4,7,7,7,7,7
6/17/22 9:36,6/17/22 9:37,0,76.87.206.135,100,58,1,6/17/22 9:37,R_2CxitOcWXWW6zoS,,,,,34.1371,-117.6599,anonymous,EN,1,agree,neutral,slightly agree,neutral,strongly disagree,,3,4,1,1,3,1,2,12,7,6,4,6,1,3,1,2,7,5,4,2,3,4,2,4,,,,,,,,,,6,1,5,5,6,3,2,4,4,4,5,1,5,7,1,6,6,3,1988,Non-Binary,5,,,,,
6/17/22 9:31,6/17/22 9:46,0,97.84.95.5,100,890,1,6/17/22 9:46,R_AG9Gn5TBAGAASu5,,,,,37.1357,-121.6502,anonymous,EN,1,slightly disagree,strongly agree,strongly disagree,strongly agree,neutral,7,3,2,3,5,2,1,5,12,3,1,5,6,6,4,1,1,1,1,3,7,3,3,2,2,,,,,,,,,,7,5,5,1,4,2,2,5,3,2,4,2,7,4,5,1,2,3,1999,Female,6,,,,,
6/17/22 9:44,6/17/22 9:52,0,174.212.164.144,100,477,1,6/17/22 9:52,R_vpfGVmj9bbpWYc9,,,,,36.1671,-86.7861,anonymous,EN,1,strongly disagree,disagree,neutral,strongly disagree,strongly disagree,1,1,3,4,4,7,5,5,12,4,6,6,3,5,7,1,6,7,3,2,7,5,6,4,5,,,,,,,,,,4,3,1,4,1,1,5,4,7,7,2,1,3,3,1,6,2,6,2000,Female,1,,,,,
6/17/22 9:45,6/17/22 9:54,0,98.160.165.62,100,586,1,6/17/22 9:54,R_2e99nkFy3Db2I0g,,,,,36.0588,-115.3104,anonymous,EN,1,strongly disagree,disagree,strongly disagree,slightly disagree,strongly disagree,3,7,3,2,5,4,2,4,12,5,4,2,5,7,6,1,6,5,4,6,6,2,6,5,6,,,,,,,,,,4,6,5,6,1,1,4,6,5,1,5,1,2,7,7,5,6,1,1993,Female,2,,,,,
6/17/22 10:01,6/17/22 10:07,0,73.114.141.123,100,363,1,6/17/22 10:07,R_esWAMWKiLtj1zI5,,,,,42.4532,-71.1428,anonymous,EN,1,slightly disagree,disagree,agree,slightly agree,slightly disagree,4,6,3,6,2,4,3,3,12,7,5,4,1,5,7,1,5,2,1,2,6,4,5,1,7,,,,,,,,,,1,7,2,4,7,6,7,6,1,6,5,7,2,2,5,3,1,7,1985,Female,2,7,6,6,7,7
6/17/22 10:05,6/17/22 10:08,0,35.139.215.231,100,182,1,6/17/22 10:08,R_2dWpMl01qs3WEPY,,,,,27.4749,-82.6186,anonymous,EN,1,neutral,slightly agree,slightly agree,strongly disagree,disagree,5,4,1,4,1,2,4,2,12,6,2,4,6,3,6,1,7,7,7,5,7,3,7,5,4,,,,,,,,,,4,7,5,1,4,2,7,1,2,4,6,7,4,5,7,2,7,4,1995,Non-Binary,6,,,,,
6/17/22 10:07,6/17/22 10:16,0,35.139.215.232,100,536,1,6/17/22 10:16,R_qWugbvt7pIwRpap,,,,,32.7003,-97.6086,anonymous,EN,1,strongly disagree,disagree,agree,slightly agree,neutral,5,5,2,2,7,2,5,2,12,2,3,5,7,1,7,1,3,3,5,2,7,7,7,7,7,,,,,,,,,,4,2,2,2,1,5,2,6,7,5,4,7,1,3,4,2,4,5,1994,Female,1,,,,,
6/17/22 10:14,6/17/22 10:22,0,99.164.69.226,100,467,1,6/17/22 10:22,R_2XdsnKD1BPwWGiD,,,,,32.107,-81.2499,anonymous,EN,1,slightly agree,strongly disagree,strongly agree,agree,slightly agree,3,5,3,1,7,4,2,1,12,3,2,1,4,2,5,1,4,2,5,7,5,6,5,4,1,,,,,,,,,,5,6,2,1,1,1,3,4,6,6,1,1,3,7,7,2,2,5,1990,Non-Binary,2,7,7,7,7,7
6/17/22 10:26,6/17/22 10:38,0,47.188.182.179,100,712,1,6/17/22 10:38,R_6hYyva293pxmbEB,,,,,32.9657,-96.8825,anonymous,EN,1,agree,neutral,slightly disagree,agree,strongly disagree,3,1,1,3,6,7,1,4,21,1,3,2,3,6,,1,5,5,5,2,6,3,1,3,4,,,,,,,,,,1,5,7,6,4,1,2,3,4,1,7,3,6,3,5,7,1,3,1999,Male,3,7,7,7,7,7
6/17/22 10:29,6/17/22 10:40,0,107.128.124.103,100,617,1,6/17/22 10:40,R_eg2G66klTgqp4yt,,,,,25.5972,-80.4048,anonymous,EN,1,strongly disagree,neutral,neutral,slightly agree,strongly agree,6,4,1,3,5,6,5,6,12,1,6,6,4,7,2,1,2,3,3,7,6,3,6,2,3,,,,,,,,,,5,5,4,7,7,5,4,6,2,5,1,7,5,2,4,1,3,7,1987,Female,1,7,7,7,7,7
6/17/22 10:43,6/17/22 10:50,0,104.188.21.169,100,478,1,6/17/22 10:51,R_OEl2gQuS9D0EEUN,,,,,32.8246,-117.1971,anonymous,EN,1,neutral,disagree,disagree,neutral,strongly agree,4,6,5,1,1,6,1,3,12,5,1,6,2,4,7,1,2,4,6,2,6,5,4,1,5,,,,,,,,,,1,6,1,2,4,7,4,1,7,5,6,2,1,7,4,5,1,6,1998,Non-Binary,7,7,7,7,7,7
6/17/22 10:47,6/17/22 10:57,0,68.230.88.196,100,594,1,6/17/22 10:57,R_tWFPgqP8NFOQJ8Z,,,,,33.6276,-112.0511,anonymous,EN,1,agree,strongly agree,strongly disagree,agree,slightly agree,1,3,6,4,1,6,1,3,12,7,7,4,5,2,7,1,1,2,3,1,6,7,4,7,5,,,,,,,,,,3,2,3,4,2,4,1,5,2,3,4,6,4,2,2,6,2,1,2001,Female,4,7,7,7,7,7
6/17/22 10:39,6/17/22 11:00,0,70.185.115.92,100,1283,1,6/17/22 11:00,R_2TpHk1XJl9Rspb0,,,,,29.6475,-82.404,anonymous,EN,1,slightly disagree,neutral,slightly disagree,neutral,agree,2,4,5,6,1,3,5,5,12,4,2,6,6,2,5,1,3,5,7,5,7,6,3,2,5,,,,,,,,,,6,2,5,5,5,1,6,7,1,7,3,6,4,5,5,6,3,3,1998,Female,7,,,,,
6/17/22 11:21,6/17/22 11:29,0,50.215.62.174,100,509,1,6/17/22 11:29,R_1gpujjCMVrdiPEM,,,,,37.4612,-77.395,anonymous,EN,1,disagree,agree,strongly disagree,slightly disagree,slightly agree,7,4,1,5,3,6,2,7,12,6,2,7,5,2,7,1,1,6,5,2,3,7,6,7,3,,,,,,,,,,1,1,1,2,7,4,5,5,7,4,1,4,4,7,5,3,5,7,1999,Female,6,,,,,
6/17/22 11:21,6/17/22 11:33,0,104.34.123.42,100,733,1,6/17/22 11:33,R_sZ41V6ejDrx2rlv,,,,,34.2601,-118.5789,anonymous,EN,1,slightly disagree,neutral,slightly disagree,slightly agree,neutral,6,3,5,3,1,3,1,2,12,3,4,7,1,3,4,1,6,6,4,6,6,4,4,1,7,,,,,,,,,,6,3,6,6,3,2,4,6,3,6,2,7,7,3,4,3,2,4,1995,Female,4,,,,,
6/17/22 11:32,6/17/22 11:38,0,174.72.210.97,100,362,1,6/17/22 11:38,R_2R8tqencxn0aSBE,,,,,36.115,-115.2165,anonymous,EN,1,strongly agree,strongly disagree,strongly disagree,slightly disagree,strongly agree,3,2,3,2,2,3,7,4,12,1,5,6,1,6,2,1,6,,5,3,1,3,6,3,6,,,,,,,,,,6,5,2,5,1,3,7,1,3,5,1,5,6,1,3,1,4,4,1991,Male,5,7,7,7,7,7
6/17/22 11:53,6/17/22 11:57,0,35.143.207.147,100,256,1,6/17/22 11:57,R_5dK51LIje0mizBL,,,,,27.8116,-82.8014,anonymous,EN,1,agree,disagree,slightly agree,neutral,strongly disagree,4,3,7,4,2,3,4,4,12,4,7,6,7,3,5,1,2,6,1,1,3,4,5,2,7,,,,,,,,,,3,7,6,5,6,2,2,3,5,6,6,7,5,6,6,2,1,5,1983,Non-Binary,3,6,6,6,6,6
6/17/22 12:03,6/17/22 12:15,0,70.164.32.59,100,698,1,6/17/22 12:15,R_OvXqrUsuoMlEBR7,,,,,29.9734,-90.0885,anonymous,EN,1,slightly agree,neutral,agree,strongly agree,neutral,4,3,4,1,4,5,4,6,12,3,4,5,3,5,5,1,5,7,3,3,5,5,5,4,4,,,,,,,,,,5,1,4,5,4,6,3,2,1,3,1,2,4,1,3,1,4,2,1997,Male,4,,,,,
6/17/22 12:19,6/17/22 12:29,0,24.164.7.108,100,626,1,6/17/22 12:29,R_3GqxeJUGcukaxcU,,,,,27.4843,-82.5813,anonymous,EN,1,slightly disagree,disagree,slightly agree,neutral,neutral,2,6,2,5,1,5,6,5,12,4,5,3,2,1,3,1,3,1,7,2,1,4,4,3,1,,,,,,,,,,3,4,5,5,5,2,3,2,6,5,6,6,2,5,2,1,1,2,2000,Male,2,,,,,
6/17/22 12:35,6/17/22 12:40,0,70.106.227.230,100,319,1,6/17/22 12:40,R_2tA4Xyw9q2ywT67,,,,,39.018,-77.539,anonymous,EN,1,slightly agree,slightly agree,neutral,neutral,slightly disagree,3,3,4,4,5,5,1,4,12,3,3,4,7,1,6,1,6,6,4,4,5,3,1,5,6,,,,,,,,,,2,3,7,3,2,6,4,4,2,3,2,6,7,3,6,7,3,3,1988,Non-Binary,2,7,7,7,7,7
6/17/22 12:38,6/17/22 12:46,0,71.222.65.100,100,432,1,6/17/22 12:46,R_3EQHQfHC0djWWo1,,,,,36.1473,-115.2202,anonymous,EN,1,strongly disagree,agree,neutral,slightly disagree,neutral,2,1,2,4,2,7,6,6,12,6,3,2,5,4,2,1,2,4,6,6,,6,2,2,7,,,,,,,,,,7,5,2,4,2,3,2,3,3,5,3,7,6,1,6,2,1,7,1998,Female,6,,,,,
6/17/22 12:53,6/17/22 13:00,0,71.132.246.180,100,441,1,6/17/22 13:00,R_yvTN4krmU8XJv7b,,,,,33.9249,-117.4592,anonymous,EN,1,disagree,disagree,strongly disagree,slightly disagree,slightly disagree,2,2,2,7,7,3,3,4,12,3,6,1,6,7,3,1,5,7,1,7,3,6,2,7,1,,,,,,,,,,4,5,3,2,1,1,6,6,2,2,2,6,4,7,1,6,1,6,1993,Non-Binary,1,7,7,7,7,7
6/17/22 13:15,6/17/22 13:17,0,70.184.249.206,100,104,1,6/17/22 13:17,R_2WuQ1JFs9ASlMfQ,,,,,36.0944,-95.9717,anonymous,EN,1,neutral,slightly agree,slightly disagree,slightly agree,slightly disagree,7,3,7,6,3,4,5,6,12,5,3,7,7,6,6,1,2,4,6,7,2,5,2,6,6,,,,,,,,,,1,4,2,2,3,7,4,5,2,7,6,7,1,3,2,1,6,4,1996,Non-Binary,5,,,,,
6/17/22 13:08,6/17/22 13:17,0,70.184.249.207,100,572,1,6/17/22 13:17,R_122PbPF4sEU4FyV,,,,,40.598,-111.9619,anonymous,EN,1,slightly disagree,strongly disagree,strongly agree,slightly disagree,strongly disagree,2,1,3,1,3,3,6,3,12,4,6,3,7,2,2,1,7,1,6,6,3,4,3,3,3,,,,,,,,,,4,6,6,3,2,5,5,5,4,7,4,5,5,7,2,2,3,4,1989,Male,4,7,7,7,7,7
6/17/22 13:22,6/17/22 13:27,0,172.89.185.125,100,334,1,6/17/22 13:27,R_6n7dQ2KI7CrQtB7,,,,,34.1928,-118.4886,anonymous,EN,1,slightly disagree,slightly agree,strongly disagree,strongly disagree,agree,7,6,1,3,7,2,1,1,12,1,4,3,6,4,5,1,6,5,1,7,7,6,1,5,1,,,,,,,,,,1,1,4,4,6,6,4,6,6,2,2,7,2,4,5,3,5,2,2002,Non-Binary,5,7,7,7,7,7
6/17/22 13:23,6/17/22 13:29,0,76.212.75.126,100,374,1,6/17/22 13:29,R_3PoAldbCWysTUhP,,,,,39.5272,-119.9129,anonymous,EN,1,disagree,disagree,agree,strongly agree,strongly agree,2,3,4,6,1,5,1,2,12,2,6,3,2,5,4,1,1,6,7,5,4,5,6,2,6,,,,,,,,,,4,2,5,4,3,4,3,5,2,1,4,6,5,4,4,5,4,7,1990,Male,4,6,6,6,6,6
6/17/22 13:23,6/17/22 13:31,0,73.34.27.133,100,498,1,6/17/22 13:31,R_2SxlLu4ZxuoNmfI,,,,,39.1965,-106.8229,anonymous,EN,1,neutral,strongly disagree,agree,neutral,neutral,1,3,5,2,5,5,7,6,12,6,6,7,7,6,4,1,4,5,2,3,5,3,5,4,5,,,,,,,,,,6,4,7,2,7,1,4,4,1,7,5,7,5,7,5,4,5,6,1998,Non-Binary,1,,,,,
6/17/22 13:34,6/17/22 13:43,0,136.49.104.95,100,567,1,6/17/22 13:43,R_3HB51a5tZfYQlMX,,,,,30.2304,-97.7243,anonymous,EN,1,strongly agree,neutral,disagree,disagree,disagree,1,7,1,3,3,7,4,3,12,2,4,1,,4,5,1,7,5,6,5,7,6,4,1,2,,,,,,,,,,4,6,7,7,5,5,5,5,3,5,3,5,5,1,7,5,7,3,1990,Non-Binary,1,7,7,7,6,7
6/17/22 13:19,6/17/22 13:50,0,108.251.99.57,100,1851,1,6/17/22 13:50,R_3kiZOLWmIL0bEQ6,,,,,33.816,-117.9692,anonymous,EN,1,slightly agree,disagree,strongly agree,slightly disagree,slightly disagree,3,6,4,5,7,3,5,6,12,5,6,3,6,2,4,1,5,1,5,5,6,4,1,3,4,,,,,,,,,,3,7,6,6,7,2,7,5,4,2,3,7,6,7,7,2,3,2,1984,Non-Binary,6,,,,,
6/17/22 13:32,6/17/22 13:50,0,52.119.82.148,100,1102,1,6/17/22 13:50,R_26ncdYOaq1pLZos,,,,,40.7503,-74.0014,anonymous,EN,1,agree,neutral,neutral,disagree,strongly agree,3,7,4,5,2,2,3,4,12,2,1,1,7,2,4,1,6,6,1,1,5,7,5,5,3,,,,,,,,,,5,3,5,5,6,2,1,4,7,4,7,1,1,4,7,7,1,4,1988,Non-Binary,5,,,,,
6/17/22 13:45,6/17/22 13:53,0,73.131.173.57,100,523,1,6/17/22 13:53,R_2aOZbRSpVXukmkc,,,,,32.8445,-79.8242,anonymous,EN,1,slightly agree,strongly agree,disagree,strongly disagree,slightly disagree,2,4,4,4,7,4,1,5,12,5,1,7,7,1,7,1,2,5,2,3,6,3,3,3,2,,,,,,,,,,3,3,6,5,1,6,2,7,5,6,6,4,3,2,7,1,4,2,1985,Female,4,,,,,
6/17/22 13:50,6/17/22 13:57,0,67.181.131.220,100,402,1,6/17/22 13:57,R_oXltYDcNH07lygh,,,,,38.6711,-121.1495,anonymous,EN,1,agree,slightly agree,agree,slightly agree,agree,5,5,2,2,7,5,1,6,12,6,7,4,1,1,4,1,5,7,1,1,3,4,6,5,6,,,,,,,,,,4,3,4,2,5,3,1,5,2,1,7,4,5,1,3,7,7,6,1985,Male,4,,,,,
6/17/22 13:57,6/17/22 14:02,0,50.89.129.116,100,312,1,6/17/22 14:02,R_1IBlacSymqarRls,,,,,28.3774,-81.1888,anonymous,EN,1,strongly agree,agree,strongly disagree,slightly agree,slightly disagree,2,4,7,1,1,7,5,3,12,1,5,2,5,1,7,1,4,3,3,4,2,4,6,1,1,,,,,,,,,,4,6,6,7,3,6,4,5,2,6,6,2,7,2,4,7,4,7,1988,Female,2,6,6,6,6,6
6/17/22 14:00,6/17/22 14:05,0,73.49.173.174,100,275,1,6/17/22 14:05,R_1JQP2VRhvL7MdkC,,,,,25.9823,-80.1405,anonymous,EN,1,neutral,disagree,strongly agree,strongly disagree,neutral,7,6,4,3,7,4,4,1,12,7,6,4,4,7,4,1,2,3,4,5,5,4,2,4,5,,,,,,,,,,7,2,7,5,7,6,7,2,3,5,4,2,2,7,3,3,5,6,1989,Non-Binary,3,7,7,7,7,7
6/17/22 14:09,6/17/22 14:16,0,98.35.24.39,100,416,1,6/17/22 14:16,R_22AiVGsCOKtarke,,,,,37.7618,-121.9133,anonymous,EN,1,neutral,agree,slightly agree,agree,disagree,4,6,4,6,5,2,6,6,12,,1,3,6,1,3,1,6,6,6,5,1,7,6,1,2,,,,,,,,,,6,7,6,2,5,3,1,7,3,7,1,5,1,6,7,3,3,4,2002,Female,6,6,6,6,6,6
6/17/22 14:09,6/17/22 14:20,0,68.204.190.64,100,661,1,6/17/22 14:20,R_XFUXNEJW2kbzJdf,,,,,28.3299,-81.3559,anonymous,EN,1,strongly disagree,neutral,strongly agree,strongly agree,neutral,1,6,4,6,6,1,3,7,12,6,6,2,5,1,2,1,7,6,5,1,2,5,6,4,7,,,,,,,,,,4,1,3,6,1,2,1,7,1,7,2,4,1,6,4,3,3,7,2001,Female,3,,,,,
6/17/22 14:25,6/17/22 14:50,0,68.204.190.65,100,1502,1,6/17/22 14:50,R_3iVbSnvDnENojMm,,,,,27.4583,-82.5287,anonymous,EN,1,slightly disagree,strongly disagree,strongly agree,neutral,agree,5,6,5,2,2,2,3,7,12,7,7,5,1,3,1,1,2,5,6,5,2,7,1,1,5,,,,,,,,,,4,4,1,4,6,7,5,5,1,3,1,1,6,3,5,7,7,3,1997,Female,6,,,,,
6/17/22 14:39,6/17/22 15:19,0,68.204.190.66,100,2400,1,6/17/22 15:19,R_22Ybv4WSjtAEAzd,,,,,33.8789,-117.5353,anonymous,EN,1,strongly disagree,agree,neutral,neutral,strongly agree,1,1,3,1,5,6,2,6,12,6,4,1,6,3,2,1,5,4,4,6,4,4,7,7,6,,,,,,,,,,4,2,4,5,1,6,4,5,4,1,4,3,3,4,6,6,1,4,1984,Female,6,7,7,7,7,7
6/17/22 14:59,6/17/22 15:19,0,68.204.190.67,100,1213,1,6/17/22 15:19,R_3gLV2Rzz4XHRKbg,,,,,35.3482,-83.2028,anonymous,EN,1,disagree,agree,slightly disagree,agree,slightly agree,2,6,6,7,7,2,5,1,12,1,1,7,1,2,2,1,4,2,7,7,3,1,5,1,5,,,,,,,,,,6,7,2,1,7,6,2,2,4,6,1,7,2,1,7,7,1,1,1998,Non-Binary,3,,,,,
6/17/22 15:19,6/17/22 15:33,0,68.204.190.68,100,860,1,6/17/22 15:33,R_2QMrMSB8Azypy4q,,,,,41.3244,-74.1192,anonymous,EN,1,slightly disagree,strongly agree,strongly disagree,slightly disagree,slightly agree,1,1,1,6,5,5,2,7,12,4,6,6,5,2,4,1,6,5,4,5,6,2,4,1,5,,,,,,,,,,2,5,7,4,2,7,5,2,5,5,1,3,6,4,7,6,5,2,1986,Non-Binary,7,,,,,
