"salary","satisfaction_level","average_monthly_hours"
"low",0.67,189
"low",0.48,144
"low",0.58,145
"low",0.54,200
"low",0.25,264
"low",0.9,215
"low",0.48,272
"low",0.76,142
"medium",0.72,240
"medium",0.95,168
"medium",0.73,171
"medium",0.93,159
"medium",0.89,175
"medium",0.7,244
"medium",0.98,198
"medium",0.72,151
"medium",0.49,188
"medium",0.15,199
"medium",0.57,257
"medium",0.21,144
"high",0.46,275
"low",0.56,243
"medium",0.81,181
"medium",0.93,172
"medium",0.82,244
"medium",0.76,242
"low",0.97,249
"low",0.38,128
"low",0.46,213
"low",0.34,152
"low",0.63,245
"low",0.57,113
"low",0.17,280
"low",0.74,273
"low",0.59,221
"low",0.49,133
"low",0.49,136
"low",0.61,243
"low",0.81,135
"low",0.74,231
"low",0.91,259
"low",0.71,238
"low",0.73,210
"low",0.44,120
"low",0.6,203
"low",0.73,148
"low",0.8,258
"medium",0.97,225
"medium",0.99,208
"medium",0.96,274
"medium",0.24,147
"medium",0.45,167
"medium",0.74,154
"medium",0.6,195
"medium",0.67,237
"medium",0.57,222
"medium",0.87,145
"medium",0.25,257
"medium",0.98,286
"high",0.3,137
"low",0.21,130
"medium",0.56,214
"medium",0.75,138
"medium",0.5,166
"medium",0.61,159
"low",0.83,160
"low",0.66,155
"low",0.84,231
"low",0.87,227
"low",0.48,181
"low",0.84,222
"low",0.49,196
"low",0.67,206
"low",0.12,257
"low",0.99,153
"low",0.17,250
"low",0.58,250
"low",0.5,148
"low",0.35,141
"low",0.93,147
"low",0.73,142
"low",0.91,210
"low",0.72,152
"low",0.51,149
"low",0.55,198
"low",0.66,139
"medium",0.84,255
"medium",0.81,229
"medium",0.81,134
"medium",0.5,255
"medium",0.78,189
"medium",0.76,183
"medium",0.49,154
"medium",0.99,167
"medium",0.73,139
"medium",0.88,245
"medium",0.79,200
"medium",0.83,159
"high",0.21,163
"low",0.87,158
"medium",1,194
"medium",0.49,267
"medium",0.51,183
"medium",0.63,174
"low",0.91,240
"low",0.54,123
"low",1,174
"low",0.64,246
"low",0.65,173
"low",0.15,185
"low",0.81,259
"low",0.61,112
"medium",0.86,219
"medium",0.71,258
"medium",0.72,287
"medium",0.84,186
"medium",0.38,159
"medium",0.75,230
"medium",0.93,106
"medium",0.71,189
"medium",0.75,252
"medium",0.56,220
"medium",0.57,218
"medium",0.63,145
"medium",0.59,142
"medium",0.77,218
"medium",0.65,157
"medium",0.84,178
"medium",0.9,241
"medium",0.6,230
"medium",0.9,249
"medium",0.94,147
"medium",0.56,115
"medium",0.95,143
"medium",0.97,219
"medium",0.55,218
"medium",0.79,235
"high",0.49,237
"high",0.49,186
"high",0.57,177
"high",0.89,228
"high",0.66,204
"high",0.94,210
"high",0.98,250
"high",0.18,185
"high",0.57,146
"high",0.67,217
"high",0.12,172
"high",0.48,184
"low",0.61,148
"low",0.23,236
"low",0.4,280
"low",0.57,218
"low",0.95,155
"low",0.93,242
"low",0.7,166
"low",0.58,175
"low",0.52,234
"low",0.98,232
"low",0.93,156
"low",0.34,248
"low",0.87,218
"low",0.52,251
"low",0.58,173
"medium",0.65,157
"medium",0.74,274
"medium",0.63,182
"medium",0.74,233
"medium",0.65,249
"medium",0.48,162
"medium",0.84,184
"medium",0.6,135
"medium",0.56,143
"medium",0.13,203
"medium",0.83,143
"medium",0.91,142
"high",0.97,171
"high",0.9,223
"high",0.57,148
"high",0.84,140
"high",0.84,226
"high",0.17,183
"high",0.97,135
"high",0.94,236
"low",0.83,257
"low",0.91,155
"low",0.9,211
"low",0.95,207
"low",0.69,126
"low",0.49,267
"low",0.45,226
"low",0.21,239
"medium",0.67,202
"medium",0.76,150
"medium",0.19,156
"medium",0.52,233
"medium",0.66,262
"medium",0.95,183
"medium",0.95,225
"medium",0.57,216
"medium",0.48,227
"medium",0.95,242
"medium",0.7,224
"medium",0.48,223
"medium",0.62,202
"medium",0.58,220
"medium",1,129
"medium",0.79,193
"medium",0.58,165
"medium",0.59,209
"medium",0.66,183
"medium",0.71,138
"medium",0.9,152
"medium",0.74,170
"medium",0.66,185
"high",0.92,249
"low",0.55,155
"medium",0.51,204
"medium",0.49,188
"medium",0.88,264
"medium",0.6,146
"medium",0.93,212
"medium",0.86,215
"medium",0.78,239
"medium",0.69,188
"medium",0.84,259
"medium",0.48,200
"low",0.63,245
"low",0.54,182
"low",0.85,181
"low",0.51,164
"low",0.88,257
"low",0.87,178
"low",0.54,224
"high",0.96,170
"low",0.58,233
"high",0.21,239
"high",0.5,185
"low",0.52,184
"low",0.5,188
"high",0.74,186
"low",0.69,226
"medium",0.61,143
"high",0.5,213
"medium",0.79,217
"medium",0.73,190
"medium",0.49,147
"medium",0.7,235
"high",0.27,136
"medium",0.8,261
"medium",0.45,176
"medium",0.63,212
"high",0.76,148
"medium",0.42,218
"high",0.41,262
"low",0.74,145
"medium",0.82,230
"medium",0.82,210
"medium",0.53,227
"medium",0.71,142
"low",0.5,171
"low",0.68,241
"low",0.68,247
"low",0.48,246
"low",0.59,188
"low",0.21,104
"low",0.99,197
"low",1,191
"low",0.84,173
"low",0.86,207
"high",0.52,247
"low",0.94,197
"low",0.55,242
"low",0.79,145
"low",0.91,174
"high",0.82,195
"low",0.84,270
"low",0.72,238
"low",0.68,156
"high",0.99,261
"low",0.74,135
"medium",0.8,185
"high",0.55,197
"medium",0.56,241
"high",0.88,263
"medium",0.86,251
"medium",0.64,218
"medium",0.82,183
"medium",0.66,252
"medium",0.64,98
"medium",0.17,284
"medium",0.75,220
"medium",0.45,275
"high",0.99,164
"low",0.93,237
"medium",0.88,133
"medium",0.62,256
"medium",0.94,270
"medium",0.59,196
"medium",0.93,209
"medium",0.71,261
"medium",0.6,221
"medium",0.71,180
"medium",0.91,145
"high",0.78,111
"low",0.52,232
"low",0.99,195
"low",0.86,211
"high",0.74,194
"low",0.15,275
"low",0.57,140
"low",0.67,157
"high",0.8,258
"low",0.83,273
"low",0.69,135
"low",0.64,188
"low",0.95,222
"low",0.97,231
"low",0.85,255
"low",0.72,254
"medium",0.91,244
"medium",0.81,132
"medium",0.13,234
"medium",0.95,272
"medium",0.82,191
"medium",0.63,238
"medium",0.55,225
"medium",0.83,211
"medium",0.54,217
"medium",0.89,156
"medium",0.79,147
"medium",0.56,134
"high",0.89,235
"low",1,238
"medium",0.43,258
"medium",0.71,224
"medium",0.98,149
"medium",0.81,219
"low",0.71,186
"low",0.99,259
"low",0.34,119
"low",0.58,223
"low",0.77,184
"low",0.64,238
"low",0.13,157
"low",0.98,249
"low",0.72,195
"low",0.55,162
"low",0.62,231
"low",0.74,264
"low",0.69,210
"low",0.6,192
"low",0.54,192
"low",0.56,249
"low",0.58,206
"low",0.21,165
"low",0.52,183
"low",0.98,253
"low",0.85,256
"medium",0.62,263
"medium",0.63,234
"medium",0.84,223
"medium",0.71,172
"medium",0.36,226
"medium",0.79,205
"medium",0.59,235
"medium",0.5,263
"medium",0.88,271
"medium",0.65,131
"medium",0.71,238
"medium",0.89,214
"high",0.83,267
"low",0.73,184
"medium",0.71,264
"medium",0.53,109
"medium",0.74,253
"medium",0.6,207
"low",0.47,263
"low",0.88,214
"low",0.62,153
"low",0.24,123
"low",0.15,159
"low",0.92,185
"low",0.74,167
"low",0.86,271
"low",0.96,140
"low",0.54,141
"low",0.99,190
"low",0.72,134
"low",0.96,176
"low",0.73,194
"low",0.67,212
"low",0.58,234
"low",0.9,190
"low",0.99,155
"low",0.89,232
"low",0.72,216
"low",0.77,207
"medium",0.8,200
"medium",0.89,178
"medium",0.59,173
"medium",0.24,268
"medium",0.94,212
"medium",0.74,216
"medium",0.63,212
"medium",0.63,155
"medium",0.77,164
"medium",0.87,209
"medium",0.79,136
"medium",0.54,223
"high",0.59,239
"low",0.86,205
"medium",0.98,203
"medium",1,152
"medium",0.9,236
"medium",0.34,114
"low",0.95,209
"low",0.79,178
"low",0.13,175
"low",0.72,270
"low",0.63,145
"low",0.81,134
"low",0.71,272
"low",0.49,208
"low",0.59,219
"low",0.87,154
"low",0.66,179
"low",0.78,137
"low",0.65,211
"low",0.8,271
"low",0.56,192
"low",0.85,228
"low",0.14,267
"low",0.74,272
"low",0.86,260
"low",0.71,161
"low",0.83,226
"medium",0.52,249
"medium",0.63,243
"medium",0.92,247
"medium",0.66,186
"medium",0.77,155
"medium",0.74,135
"medium",0.81,198
"medium",0.67,175
"medium",0.75,192
"medium",0.65,282
"medium",0.81,179
"medium",0.57,245
"high",0.89,235
"low",0.5,266
"medium",0.21,269
"medium",0.79,264
"medium",0.66,161
"medium",0.82,203
"low",0.85,258
"low",0.72,143
"low",0.52,214
"low",0.5,166
"low",0.52,192
"low",0.13,185
"low",0.87,173
"low",0.53,163
"low",0.15,277
"low",0.64,274
"low",0.52,119
"low",0.79,267
"low",0.74,160
"low",0.81,198
"low",0.94,193
"low",0.67,250
"low",0.93,237
"low",0.52,170
"medium",0.48,157
"medium",0.57,267
"medium",0.71,192
"medium",0.9,218
"medium",0.58,210
"medium",0.66,229
"medium",0.59,186
"medium",0.96,234
"medium",0.13,149
"medium",0.93,205
"medium",0.54,148
"medium",0.54,270
"high",0.87,176
"low",0.79,226
"medium",0.83,232
"medium",0.73,137
"medium",0.29,253
"medium",0.8,231
"low",0.29,189
"low",0.43,168
"low",0.99,261
"low",0.86,152
"low",0.85,263
"low",0.66,258
"low",0.57,205
"low",0.31,183
"low",0.88,153
"low",0.72,194
"low",0.75,202
"low",0.82,164
"low",0.82,213
"low",0.15,265
"low",0.16,218
"low",0.95,286
"low",0.87,172
"low",0.85,251
"low",0.58,110
"low",0.63,269
"low",0.69,151
"medium",0.53,161
"medium",0.96,210
"medium",0.73,167
"medium",0.5,270
"medium",0.81,133
"medium",0.82,249
"medium",0.76,266
"medium",0.27,276
"medium",0.64,215
"medium",0.57,262
"medium",0.49,193
"medium",0.66,102
"high",0.71,278
"low",0.61,250
"medium",0.52,193
"medium",0.62,133
"medium",0.98,216
"medium",0.67,174
"low",0.85,280
"low",0.84,246
"low",1,142
"low",0.72,144
"low",0.66,100
"low",0.64,212
"low",1,201
"low",0.75,206
"low",0.81,197
"low",0.31,232
"low",0.32,272
"low",0.48,173
"low",0.62,124
"low",0.77,282
"low",0.76,219
"low",0.68,106
"low",0.72,192
"low",0.87,190
"low",0.59,156
"low",0.7,180
"low",0.73,245
"medium",0.58,169
"medium",0.64,188
"medium",0.89,224
"medium",0.95,263
"medium",0.84,262
"medium",0.6,225
"medium",0.71,224
"medium",0.6,266
"medium",0.91,218
"medium",0.75,102
"medium",0.7,181
"medium",0.23,150
"high",0.73,270
"low",0.99,270
"medium",0.62,265
"medium",0.98,169
"medium",0.61,224
"medium",0.52,150
"low",0.65,239
"low",0.59,245
"low",0.71,182
"low",0.18,182
"low",0.21,243
"low",0.15,209
"low",0.97,195
"low",0.39,190
"medium",0.35,140
"medium",0.88,147
"medium",0.58,265
"medium",0.61,238
"medium",0.59,155
"medium",0.55,132
"medium",0.52,257
"medium",0.71,255
"medium",0.63,229
"medium",0.17,216
"medium",0.95,269
"medium",1,205
"medium",0.73,151
"medium",0.8,246
"medium",0.63,256
"medium",0.95,235
"medium",0.75,229
"medium",0.64,158
"medium",0.72,197
"medium",0.72,151
"medium",0.85,167
"medium",0.24,146
"medium",0.69,281
"medium",0.69,212
"medium",0.87,261
"high",0.78,238
"high",0.76,235
"high",0.35,107
"high",0.88,243
"high",0.78,233
"high",0.36,206
"high",0.24,172
"high",0.55,248
"high",0.91,147
"high",0.66,259
"high",0.57,267
"high",0.64,263
"low",0.63,160
"low",0.49,176
"low",0.7,224
"low",0.3,155
"low",0.51,132
"low",0.71,173
"low",0.64,165
"low",0.67,272
"low",0.83,156
"low",0.92,154
"low",0.84,237
"low",0.97,271
"low",0.19,152
"low",0.86,152
"low",0.71,172
"medium",0.76,214
"medium",0.68,201
"medium",0.61,275
"medium",0.85,156
"medium",0.84,234
"medium",0.62,123
"medium",0.77,201
"medium",0.79,160
"medium",0.97,173
"medium",0.59,141
"medium",0.93,231
"medium",0.85,174
"high",0.7,211
"high",0.54,249
"high",0.42,108
"high",0.96,165
"high",0.58,181
"high",0.61,237
"high",0.62,180
"high",0.68,209
"low",0.6,191
"low",0.7,181
"low",0.65,250
"low",0.48,179
"low",0.75,225
"low",0.69,267
"low",0.34,169
"low",0.59,164
"medium",0.94,155
"medium",0.98,223
"medium",0.72,160
"medium",0.79,268
"medium",0.54,151
"medium",0.73,156
"medium",0.82,136
"medium",0.57,189
"medium",0.98,203
"medium",0.91,174
"medium",0.72,239
"medium",0.48,152
"medium",0.57,268
"medium",0.86,146
"medium",0.63,232
"medium",0.81,255
"medium",0.21,129
"medium",0.9,261
"medium",0.79,101
"medium",0.95,229
"medium",0.29,162
"medium",0.81,270
"medium",0.21,277
"high",0.7,261
"low",0.66,204
"medium",0.16,215
"medium",0.72,219
"medium",0.51,147
"medium",0.59,243
"medium",0.66,155
"medium",0.69,253
"medium",0.69,235
"medium",0.89,257
"medium",0.52,225
"medium",0.91,167
"low",0.96,224
"low",0.8,127
"low",0.55,256
"low",0.93,233
"low",0.93,169
"low",0.54,152
"low",0.48,236
"high",0.19,154
"low",0.95,223
"high",0.96,211
"high",0.63,192
"low",0.81,227
"low",0.5,265
"high",0.76,228
"low",0.84,152
"medium",0.2,169
"high",0.78,169
"medium",0.8,157
"medium",0.94,251
"medium",0.44,253
"medium",0.92,155
"high",0.54,232
"medium",0.56,195
"medium",0.66,198
"medium",0.8,246
"high",0.6,214
"medium",0.73,249
"high",0.55,211
"low",0.7,269
"medium",0.53,214
"medium",0.9,231
"medium",0.8,175
"medium",0.51,175
"low",0.86,238
"low",0.63,228
"low",0.83,220
"low",0.85,233
"low",0.8,225
"low",0.79,187
"low",0.37,117
"low",0.85,184
"low",0.76,216
"low",0.99,140
"high",0.55,201
"low",0.69,167
"low",0.68,203
"low",0.69,231
"low",0.65,141
"high",0.17,226
"low",0.48,199
"low",0.65,192
"low",0.57,247
"high",0.8,164
"low",0.8,234
"medium",0.5,177
"high",0.95,208
"medium",0.69,233
"high",0.74,172
"medium",0.68,141
"medium",0.68,213
"medium",0.65,128
"medium",0.85,151
"medium",0.49,247
"medium",0.19,143
"medium",0.95,164
"medium",0.63,183
"high",0.83,274
"low",0.62,261
"medium",0.74,200
"medium",0.7,177
"medium",0.28,139
"medium",0.39,228
"medium",0.62,230
"medium",0.79,212
"medium",0.87,265
"medium",0.29,124
"medium",0.37,155
"high",0.68,215
"low",0.9,214
"low",0.97,181
"low",0.6,229
"high",0.58,262
"low",0.83,165
"low",0.83,136
"low",0.94,151
"high",0.69,226
"low",0.81,215
"low",0.19,143
"low",0.18,223
"low",0.58,271
"low",0.76,220
"low",0.26,182
"low",0.78,190
"medium",0.71,198
"medium",0.76,141
"medium",0.44,248
"medium",0.26,168
"medium",0.75,162
"medium",0.64,211
"medium",0.79,271
"medium",0.96,271
"medium",0.63,244
"medium",0.65,261
"medium",0.76,225
"medium",0.26,266
"high",0.84,146
"low",0.74,233
"medium",0.53,180
"medium",0.7,208
"medium",0.62,165
"medium",0.71,221
"low",0.5,215
"low",0.53,264
"low",0.88,160
"low",0.79,192
"low",0.69,201
"low",0.57,264
"low",0.68,186
"low",0.6,272
"low",0.7,216
"low",0.71,142
"low",0.49,133
"low",0.74,260
"low",0.2,101
"low",0.57,230
"low",0.83,242
"low",0.22,193
"low",0.67,234
"low",0.54,132
"low",0.54,183
"low",0.64,191
"low",0.23,140
"medium",0.88,257
"medium",0.83,219
"medium",0.88,141
"medium",0.9,162
"medium",0.49,181
"medium",0.55,191
"medium",0.92,149
"medium",0.72,164
"medium",0.63,235
"medium",0.98,199
"medium",0.76,248
"medium",0.42,103
"high",0.58,248
"low",0.85,153
"medium",0.67,241
"medium",0.58,258
"medium",0.84,172
"medium",0.56,149
"low",0.63,217
"low",0.51,243
"low",0.95,120
"low",0.85,137
"low",0.73,150
"low",0.2,199
"low",0.78,203
"low",0.83,273
"low",0.87,214
"low",0.98,141
"low",1,243
"low",0.7,159
"low",0.62,146
"low",0.67,159
"low",0.86,196
"low",0.44,183
"low",0.19,192
"low",0.76,246
"low",0.89,191
"low",0.25,158
"low",0.68,167
"medium",0.38,187
"medium",0.64,199
"medium",0.76,157
"medium",0.26,157
"medium",0.69,178
"medium",0.98,154
"medium",0.86,208
"medium",0.14,273
"medium",0.58,159
"medium",0.63,234
"medium",0.7,139
"medium",0.73,210
"high",0.89,164
"low",0.17,241
"medium",0.86,259
"medium",0.59,159
"medium",0.22,131
"medium",0.55,266
"low",0.74,153
"low",0.55,253
"low",0.67,141
"low",0.64,199
"low",0.58,205
"low",0.9,252
"low",0.89,153
"low",0.74,171
"low",0.78,150
"low",0.97,247
"low",0.52,150
"low",0.99,206
"low",0.76,192
"low",0.69,164
"low",0.59,186
"low",0.95,249
"low",0.69,214
"low",0.76,193
"low",0.7,114
"low",0.87,122
"low",0.44,170
"medium",0.54,151
"medium",0.55,156
"medium",0.81,170
"medium",0.5,188
"medium",0.93,201
"medium",0.64,254
"medium",0.57,206
"medium",0.95,216
"medium",0.86,200
"medium",0.82,202
"medium",0.18,217
"medium",0.58,151
"high",0.57,224
"low",0.94,148
"medium",0.2,224
"medium",0.73,243
"medium",0.94,238
"medium",0.99,254
"low",0.22,218
"low",0.67,237
"low",0.49,185
"low",0.78,184
"low",0.15,176
"low",0.91,260
"low",0.7,254
"low",0.6,221
"low",0.59,257
"low",0.59,265
"low",0.55,138
"low",0.42,163
"low",0.57,144
"low",0.72,146
"low",0.83,242
"low",0.89,249
"low",0.55,245
"low",0.53,201
"medium",0.74,177
"medium",0.63,160
"medium",0.63,177
"medium",0.61,153
"medium",0.76,197
"medium",0.67,246
"medium",0.51,258
"medium",0.67,137
"medium",0.16,178
"medium",0.34,123
"medium",0.58,162
"medium",0.5,210
"high",0.56,197
"low",0.56,220
"medium",0.74,133
"medium",0.69,198
"medium",0.15,160
"medium",0.58,180
"low",0.8,217
"low",0.5,223
"low",0.66,229
"low",0.81,159
"low",0.14,253
"low",0.92,235
"low",0.69,186
"low",0.66,263
"low",0.85,239
"low",0.83,151
"low",1,106
"low",0.68,183
"low",0.26,125
"low",0.35,157
"low",0.12,241
"low",0.91,184
"low",0.65,144
"low",0.78,255
"low",0.61,261
"low",0.64,207
"low",0.58,205
"medium",0.63,217
"medium",0.94,215
"medium",0.26,139
"medium",0.59,146
"medium",0.78,175
"medium",0.86,188
"medium",0.79,155
"medium",0.89,171
"medium",0.34,184
"medium",0.29,164
"medium",0.71,244
"medium",0.93,222
"high",0.94,231
"low",0.91,213
"medium",0.71,144
"medium",0.67,221
"medium",0.54,138
"medium",0.89,183
"low",0.94,250
"low",0.15,219
"low",0.45,164
"low",0.92,161
"low",0.63,274
"low",0.8,181
"low",0.45,148
"low",0.72,226
"low",0.84,256
"low",0.61,141
"low",0.63,177
"low",0.49,173
"low",0.68,196
"low",0.64,179
"low",0.61,201
"low",0.83,247
"low",0.94,238
"low",0.27,133
"low",0.6,194
"low",0.83,232
"low",0.53,232
"medium",0.79,204
"medium",0.96,252
"medium",0.5,164
"medium",0.68,266
"medium",0.24,226
"medium",0.8,252
"medium",0.62,155
"medium",1,202
"medium",0.64,214
"medium",0.51,267
"medium",0.74,265
"medium",0.49,221
"high",0.96,132
"low",0.59,227
"medium",0.84,234
"medium",0.16,238
"medium",0.62,149
"medium",0.79,152
"low",0.53,249
"low",0.17,270
"low",0.57,200
"low",0.65,207
"low",0.69,266
"low",0.3,250
"low",0.99,220
"low",0.5,177
"medium",0.54,147
"medium",0.69,227
"medium",0.5,272
"medium",0.66,244
"medium",1,182
"medium",0.15,146
"medium",0.31,259
"medium",0.65,184
"medium",0.72,149
"medium",0.84,185
"medium",0.55,254
"medium",0.6,249
"medium",0.84,269
"medium",0.68,168
"medium",0.13,225
"medium",0.88,160
"medium",0.64,149
"medium",0.19,193
"medium",0.83,171
"medium",0.17,232
"medium",0.44,250
"medium",0.52,243
"medium",0.66,250
"medium",0.96,153
"medium",0.19,126
"high",0.86,192
"high",0.65,137
"high",0.61,199
"high",0.53,181
"high",0.14,260
"high",0.74,199
"high",0.47,171
"high",0.6,260
"high",0.81,243
"high",0.95,154
"high",0.98,201
"high",0.52,234
"low",1,216
"low",0.16,205
"low",0.19,225
"low",0.94,229
"low",0.58,132
"low",0.92,180
"low",0.65,164
"low",0.74,175
"low",0.6,103
"low",1,142
"low",0.81,212
"low",0.54,129
"low",0.18,140
"low",0.82,149
"low",0.9,258
"medium",0.62,136
"medium",0.77,216
"medium",0.58,151
"medium",0.27,217
"medium",0.78,219
"medium",0.98,150
"medium",0.75,98
"medium",0.74,140
"medium",0.9,259
"medium",0.73,215
"medium",0.9,258
"medium",0.68,162
"high",0.9,260
"high",0.64,198
"high",0.63,242
"high",0.87,219
"high",0.6,204
"high",0.7,157
"high",0.15,244
"high",0.45,122
"low",0.43,282
"low",0.92,195
"low",0.72,134
"low",0.94,210
"low",0.74,170
"low",0.48,140
"low",0.84,215
"low",0.53,150
"medium",0.45,268
"medium",0.95,270
"medium",0.95,163
"medium",0.7,188
"medium",0.19,110
"medium",0.74,135
"medium",0.54,228
"medium",0.5,172
"medium",0.95,168
"medium",0.69,160
"medium",0.24,282
"medium",0.96,184
"medium",0.61,217
"medium",0.76,281
"medium",0.61,245
"medium",0.37,285
"medium",0.81,165
"medium",0.59,146
"medium",0.73,133
"medium",0.87,181
"medium",0.67,152
"medium",0.96,284
"medium",0.98,157
"high",0.5,165
"low",0.49,255
"medium",0.13,194
"medium",0.57,102
"medium",0.51,247
"medium",0.99,206
"medium",0.8,171
"medium",0.56,263
"medium",0.96,272
"medium",0.96,158
"medium",0.87,216
"medium",0.61,113
"low",0.18,140
"low",0.24,178
"low",0.86,153
"low",0.25,271
"low",0.25,269
"low",0.63,160
"low",0.89,258
"high",0.87,251
"low",0.87,170
"high",0.71,238
"high",0.98,152
"low",0.16,262
"low",0.83,273
"high",0.65,233
"low",0.95,262
"medium",0.67,183
"high",0.53,150
"medium",0.74,132
"medium",0.77,200
"medium",0.13,148
"medium",0.82,187
"high",0.88,224
"medium",0.89,147
"medium",0.85,153
"medium",0.93,154
"high",0.62,270
"medium",0.58,202
"high",0.98,264
"low",0.52,145
"medium",0.76,138
"medium",0.73,238
"medium",0.74,147
"medium",0.49,190
"low",0.91,183
"low",0.74,255
"low",0.86,252
"low",0.52,141
"low",0.95,260
"low",0.65,136
"low",0.7,182
"low",0.14,142
"low",0.92,261
"low",0.54,209
"high",0.76,156
"low",0.78,214
"low",0.85,250
"low",0.78,197
"low",0.55,149
"high",0.68,271
"low",0.91,187
"low",0.76,154
"low",0.15,264
"high",0.95,144
"low",0.74,200
"medium",0.92,197
"high",0.64,175
"medium",0.96,161
"high",0.21,245
"medium",0.85,167
"medium",0.52,168
"medium",0.54,261
"medium",0.56,274
"medium",0.59,181
"medium",0.88,266
"medium",0.7,184
"medium",0.95,193
"high",0.83,217
"low",0.76,197
"medium",0.82,252
"medium",0.55,136
"medium",0.89,194
"medium",0.66,190
"medium",0.41,185
"medium",0.83,232
"medium",0.88,200
"medium",0.56,155
"medium",0.53,228
"high",0.8,188
"low",0.95,245
"low",0.9,205
"low",0.5,269
"high",0.4,207
"low",0.52,250
"low",0.51,251
"low",0.84,217
"high",0.78,252
"low",0.91,159
"low",0.59,169
"low",0.69,105
"low",0.87,268
"low",0.66,145
"low",0.5,165
"low",0.95,253
"medium",0.77,254
"medium",0.66,218
"medium",0.61,138
"medium",0.7,239
"medium",0.89,182
"medium",0.6,152
"medium",0.62,222
"medium",0.59,219
"medium",0.69,266
"medium",0.36,113
"medium",0.59,146
"medium",0.5,238
"high",0.53,188
"low",0.84,237
"medium",0.51,201
"medium",0.53,188
"medium",0.98,137
"medium",0.95,263
"low",0.13,217
"low",0.5,213
"low",0.93,244
"low",0.5,252
"low",0.66,168
"low",0.89,212
"low",0.46,258
"low",0.67,210
"low",0.96,246
"low",0.98,221
"low",0.67,215
"low",0.72,175
"low",0.65,221
"low",0.72,219
"low",0.78,154
"low",0.93,266
"low",0.73,224
"low",0.2,269
"low",0.47,159
"low",0.56,247
"low",0.72,137
"medium",0.91,251
"medium",0.79,210
"medium",0.53,123
"medium",0.14,253
"medium",0.78,242
"medium",0.52,238
"medium",0.94,151
"medium",0.83,158
"medium",0.44,120
"medium",0.72,187
"medium",0.84,140
"medium",0.76,164
"high",0.92,253
"low",0.58,235
"medium",0.85,189
"medium",0.74,246
"medium",0.74,258
"medium",0.72,158
"low",0.76,173
"low",0.85,201
"low",0.82,185
"low",0.6,270
"low",0.39,152
"low",0.83,211
"low",0.7,162
"low",0.84,253
"low",0.9,236
"low",0.18,231
"low",0.52,231
"low",0.87,233
"low",0.6,217
"low",0.72,174
"low",0.48,227
"low",0.75,222
"low",0.85,207
"low",0.39,115
"low",0.61,254
"low",0.6,170
"low",0.57,206
"medium",0.19,149
"medium",0.48,197
"medium",0.69,261
"medium",0.7,256
"medium",0.65,219
"medium",0.81,143
"medium",0.85,171
"medium",0.93,207
"medium",0.72,235
"medium",0.49,173
"medium",0.94,131
"medium",0.81,143
"high",0.92,193
"low",0.97,135
"medium",0.98,265
"medium",0.44,133
"medium",0.72,184
"medium",0.8,135
"low",0.6,267
"low",0.89,184
"low",0.69,227
"low",0.54,257
"low",0.97,235
"low",0.37,161
"low",0.73,215
"low",0.57,146
"low",0.86,191
"low",0.83,261
"low",0.19,200
"low",0.55,239
"low",0.6,160
"low",0.62,177
"low",0.65,215
"low",0.4,97
"low",0.82,231
"low",0.75,257
"low",0.83,232
"low",0.77,212
"low",0.59,198
"medium",0.8,240
"medium",0.84,242
"medium",0.88,250
"medium",0.37,229
"medium",0.88,133
"medium",0.69,200
"medium",0.54,155
"medium",0.76,139
"medium",0.51,272
"medium",0.16,100
"medium",0.65,160
"medium",0.54,195
"high",0.66,152
"low",0.95,182
"medium",0.83,137
"medium",0.98,182
"medium",0.72,217
"medium",0.71,192
"low",0.36,116
"low",0.55,170
"low",0.64,223
"low",0.62,174
"low",1,193
"low",0.91,167
"low",0.81,225
"low",0.71,248
"low",0.97,104
"low",0.75,148
"low",0.68,148
"low",0.87,187
"low",0.96,151
"low",0.41,215
"low",0.81,142
"low",0.68,258
"low",0.63,228
"low",0.6,221
"medium",0.66,263
"medium",0.69,273
"medium",0.23,247
"medium",0.52,225
"medium",0.65,269
"medium",0.78,174
"medium",0.6,201
"medium",0.9,254
"medium",0.59,254
"medium",0.89,185
"medium",0.96,200
"medium",0.68,190
"high",0.52,160
"low",0.68,264
"medium",0.6,172
"medium",0.28,279
"medium",0.98,260
"medium",0.67,262
"low",0.86,134
"low",0.83,195
"low",0.79,139
"low",0.54,205
"low",0.51,212
"low",0.75,148
"low",0.51,228
"low",0.73,230
"low",0.17,286
"low",0.88,142
"low",0.76,161
"low",0.29,152
"low",0.62,266
"low",0.5,143
"low",0.16,165
"low",0.18,204
"low",0.86,170
"low",0.68,203
"low",0.68,199
"low",0.89,223
"low",0.86,220
"medium",0.43,190
"medium",0.85,143
"medium",0.94,111
"medium",0.58,145
"medium",0.43,138
"medium",0.72,203
"medium",0.95,175
"medium",0.35,119
"medium",0.77,157
"medium",0.74,135
"medium",0.5,200
"medium",0.87,121
"high",0.55,162
"low",0.8,135
"medium",0.49,183
"medium",0.54,228
"medium",0.21,148
"medium",0.77,219
"low",0.53,147
"low",0.89,165
"low",0.25,218
"low",0.53,231
"low",0.44,124
"low",0.7,131
"low",0.54,199
"low",0.9,220
"low",0.69,215
"low",0.78,180
"low",0.91,272
"low",0.92,228
"low",0.96,168
"low",0.8,205
"low",0.52,244
"low",0.52,185
"low",0.93,135
"low",0.89,160
"low",0.83,262
"low",0.7,225
"low",0.89,174
