ID,sym_1,sym_2,sym_3,sym_4,sym_5,anger_1,anger_2,anger_3,anger_4,anger_5,SSOE_1,SSOE_2,SSOE_3,SSOE_4,SSOE_5,SSOE_6,WPSS_1,WPSS_2,WPSS_3,WPSS_4,WPSS_5,WPSS_6,GWPH_1,GWPH_2,GWPH_3,GWPH_4,GWPH_5,stability,onset,effort
220,6,6,6,6,6,2,6,2,2,3,6,3,5,5,5,4,70,69,60,59,60,59,80,70,60,69,74,1,0,0
221,4,5,6,5,5,1,3,1,2,4,4,2,4,3,5,3,63,73,69,72,85,85,80,98,98,97,100,1,0,0
222,7,6,5,6,4,4,4,4,1,4,4,3,3,6,3,2,100,100,100,100,100,76,80,69,50,50,70,0,1,0
223,5,6,6,5,5,1,2,1,1,1,3,3,4,5,2,3,70,76,76,76,72,82,92,94,92,89,91,0,0,0
224,3,3,4,5,3,6,5,6,5,6,2,1,1,3,5,5,91,96,97,70,97,97,96,96,91,96,97,1,1,1
225,5,7,7,7,6,1,3,1,1,1,2,1,2,3,2,2,100,100,100,98,100,100,90,82,51,88,85,1,1,0
226,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,7,100,100,100,100,1,100,100,100,100,100,99,0,0,0
227,7,6,7,5,7,3,7,7,3,7,4,2,7,5,4,2,100,100,99,100,100,100,100,100,100,100,100,1,0,1
228,7,6,7,6,4,5,2,5,2,6,7,7,7,7,7,7,28,88,88,55,99,97,98,100,100,69,88,0,1,1
229,6,5,6,6,6,6,6,7,3,7,6,7,6,6,7,7,72,81,89,94,97,93,85,92,93,88,91,1,0,1
230,6,7,6,6,5,4,5,2,2,3,5,2,4,5,5,5,70,91,100,80,90,71,70,66,52,45,52,1,1,0
231,6,6,6,6,6,1,1,1,1,1,4,4,4,5,2,4,91,90,90,91,90,90,50,81,50,81,50,0,0,1
232,4,5,5,4,6,6,5,7,6,7,5,5,5,6,7,6,90,100,100,100,100,100,100,100,100,100,100,1,0,1
233,4,5,5,5,4,5,5,4,2,7,4,4,4,5,4,4,60,51,70,54,80,60,60,54,40,55,60,0,1,1
234,4,3,4,3,4,4,5,5,5,5,4,3,5,4,3,3,100,100,100,100,100,100,100,100,100,100,100,1,1,1
235,4,5,4,5,5,4,4,2,4,6,4,3,3,4,5,5,95,40,93,100,43,100,100,100,100,100,100,1,1,1
236,5,5,5,4,5,4,3,2,3,3,3,3,3,3,4,1,100,100,75,35,62,47,45,58,50,40,56,0,0,0
237,4,4,5,4,4,3,3,3,3,3,5,5,5,5,5,5,94,94,94,90,90,89,60,63,63,64,69,1,0,1
238,3,4,3,3,3,5,5,5,4,5,2,2,2,1,2,2,81,70,72,70,73,74,62,61,40,62,64,1,1,1
239,6,7,4,4,1,1,2,2,1,4,2,2,2,4,1,2,100,100,100,100,100,100,100,81,80,91,100,1,0,1
240,6,6,6,6,5,5,1,1,1,5,2,2,2,2,2,2,80,80,80,80,80,81,91,91,91,91,91,1,1,1
241,5,6,6,4,4,5,7,7,5,5,5,6,6,7,7,7,100,100,100,100,100,100,100,100,100,100,100,0,1,1
242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,61,57,54,57,61,63,55,61,58,61,63,1,0,1
243,6,6,6,5,6,5,4,5,4,5,7,7,6,5,5,7,71,81,71,90,100,100,67,66,63,74,66,0,0,0
244,6,6,6,5,6,2,2,3,1,6,6,6,5,6,4,4,80,54,80,85,80,78,62,40,40,66,68,1,0,0
245,7,3,7,7,7,5,6,5,2,5,7,1,7,7,5,1,100,100,100,100,100,100,85,96,91,70,40,1,0,0
246,6,3,7,7,5,5,6,5,4,7,5,1,1,3,4,2,100,100,100,70,100,100,91,100,100,90,91,1,0,1
247,5,5,5,5,4,3,3,3,1,4,5,5,5,5,4,4,100,100,100,100,100,100,71,68,68,64,77,0,1,1
248,4,3,5,5,3,2,2,2,2,2,4,5,5,6,6,5,80,90,92,83,95,89,93,96,96,96,99,1,0,0
249,6,7,7,7,4,1,1,1,1,1,6,4,6,5,5,4,100,100,50,50,49,63,100,55,66,78,100,0,0,0
250,7,7,7,7,4,1,4,3,1,1,5,4,5,7,4,3,70,70,100,31,100,28,100,70,80,69,30,1,0,0
251,5,6,5,5,3,1,4,2,1,3,5,6,7,5,3,5,86,85,100,100,77,77,60,58,55,66,64,0,1,1
252,6,6,6,4,6,4,4,4,1,4,7,7,7,7,3,4,90,91,91,90,90,91,60,60,60,70,70,0,0,1
253,4,4,4,4,3,5,6,5,5,5,5,5,5,6,4,6,90,90,91,30,92,30,71,81,90,81,90,0,1,0
254,6,6,6,6,6,3,2,4,3,4,2,2,2,3,2,1,79,79,81,63,89,66,62,71,66,75,74,0,0,0
255,5,4,5,4,5,5,5,6,4,5,4,4,4,4,4,5,75,75,87,60,69,30,50,60,49,60,60,1,0,1
256,6,5,5,5,2,6,6,6,5,6,5,6,5,6,7,6,100,100,100,100,100,100,100,100,100,100,100,1,1,1
257,6,7,7,6,2,2,3,2,1,2,5,3,3,4,3,3,100,91,100,100,100,100,70,90,80,50,50,1,0,1
258,5,5,6,6,5,5,4,6,5,5,6,5,5,6,5,5,81,71,71,65,66,69,76,82,76,89,89,1,1,1
259,6,6,6,6,6,3,3,3,1,2,2,2,2,2,1,2,100,100,100,81,100,100,100,100,100,100,100,1,0,0
260,4,6,5,5,3,1,1,1,1,1,4,4,4,6,5,4,88,78,78,82,88,79,30,71,77,70,70,1,0,0
261,6,6,6,6,4,2,2,2,2,5,5,4,6,6,4,4,90,70,81,81,80,80,70,49,38,60,60,1,0,1
262,6,3,7,6,6,7,6,5,1,5,7,7,7,7,7,7,100,100,100,100,100,100,96,85,55,100,100,0,1,1
263,7,7,7,7,7,5,5,5,3,6,5,5,5,6,7,7,100,100,100,100,100,100,100,100,100,100,100,0,1,0
264,7,7,7,7,7,1,1,1,1,1,1,1,5,5,1,1,100,100,100,100,100,100,91,81,70,100,100,1,0,0
265,2,3,3,4,3,5,4,6,5,5,4,3,4,5,3,4,91,92,90,71,92,81,91,81,89,92,90,1,0,1
266,6,6,6,6,6,2,5,2,2,2,6,6,6,6,6,6,60,64,71,70,73,82,77,85,89,89,93,1,1,1
267,6,7,6,6,6,5,5,5,4,5,5,3,6,6,6,4,100,90,100,100,100,91,70,70,70,86,86,1,1,1
268,6,5,5,6,6,2,4,3,2,3,2,1,3,3,3,2,80,70,89,53,68,67,76,66,38,62,61,1,0,0
269,6,7,6,6,5,3,3,2,1,3,5,3,3,6,5,5,59,60,60,80,69,60,60,70,59,72,71,0,0,0
270,6,5,5,5,6,6,7,6,6,5,5,6,5,6,6,7,72,80,91,84,84,95,88,89,82,95,83,1,0,0
271,5,4,4,5,4,5,5,5,4,5,6,6,7,7,7,7,91,81,100,100,91,90,100,100,100,100,100,1,1,0
272,7,5,7,7,7,3,3,5,2,5,2,1,2,4,4,2,100,100,100,100,100,100,100,100,100,100,100,1,0,1
273,6,6,6,4,4,4,6,6,5,6,7,7,7,7,7,5,100,100,100,100,100,100,100,100,100,100,100,0,1,1
274,4,5,4,4,3,4,5,3,1,4,4,4,4,5,5,5,100,99,100,100,100,100,74,73,80,73,76,1,1,1
275,7,5,7,7,6,2,5,2,2,6,2,1,2,3,2,2,95,97,98,68,94,74,93,91,75,84,86,1,0,1
276,6,7,6,5,5,5,4,5,4,5,5,4,5,6,5,5,92,100,100,65,74,98,79,73,40,75,62,0,0,0
277,2,6,6,6,2,2,2,2,2,2,6,6,6,6,6,6,79,80,80,80,79,79,90,90,90,89,92,0,1,1
278,5,6,5,4,4,1,6,2,1,5,4,3,5,4,3,3,100,100,100,100,100,100,70,70,91,60,59,0,1,0
279,6,7,7,7,6,6,6,4,5,5,4,5,5,4,7,5,100,100,100,100,100,100,100,100,81,100,100,0,1,1
280,4,5,5,6,4,5,6,5,6,4,4,5,6,5,5,6,71,60,36,82,90,76,65,66,45,67,68,1,0,1
281,7,7,7,7,7,1,1,1,1,1,2,1,2,4,4,2,100,100,100,100,100,100,100,100,100,100,100,1,0,0
282,5,7,7,6,6,1,3,1,1,1,4,2,4,3,3,3,40,80,91,60,90,100,95,80,90,91,95,1,1,0
283,4,3,5,4,1,5,6,2,3,6,3,3,3,2,2,3,91,85,91,89,91,80,70,64,50,60,80,1,1,0
284,4,5,5,4,4,5,5,5,3,5,3,1,1,4,4,3,49,80,83,50,68,63,64,75,45,51,57,1,1,0
285,6,7,7,6,6,5,5,5,4,4,5,6,7,7,7,6,90,84,74,88,57,91,87,82,75,82,80,1,0,1
286,7,6,6,6,6,2,5,3,2,4,4,5,5,6,2,6,70,90,91,59,69,40,69,81,90,90,90,0,0,0
287,5,4,3,6,4,4,1,4,1,5,6,4,6,6,5,6,60,81,99,71,64,76,98,93,99,91,79,1,1,0
288,7,7,7,7,7,1,1,2,1,1,2,2,3,3,3,2,100,100,100,100,100,100,100,100,100,100,100,1,0,0
289,4,4,4,4,4,3,5,6,3,5,2,3,2,4,3,3,60,70,67,84,75,80,95,85,88,72,83,1,0,1
290,5,6,6,6,4,1,1,1,1,1,7,4,7,6,5,6,85,70,85,87,90,89,78,64,29,82,80,0,1,0
291,6,7,7,6,7,4,6,5,3,7,6,6,6,7,6,6,100,100,100,90,90,100,100,100,100,100,100,1,0,0
292,2,5,4,4,4,5,6,6,2,7,2,2,2,2,5,2,71,52,82,92,100,42,71,46,47,61,61,0,1,1
293,3,4,6,5,6,6,5,5,4,6,7,7,7,7,4,7,100,100,100,100,100,100,100,100,100,100,100,1,1,0
294,5,6,3,3,4,5,5,5,5,6,5,5,5,6,7,6,100,100,100,100,100,100,100,100,100,100,100,0,1,1
295,4,4,4,3,4,7,6,6,6,6,4,3,3,3,3,1,64,89,74,91,92,61,69,77,84,78,80,1,1,1
296,7,5,7,7,7,1,5,2,1,3,2,1,2,3,3,2,100,100,100,90,100,92,80,90,68,81,88,1,0,0
297,6,6,6,6,4,2,2,2,2,2,3,3,3,3,3,3,69,60,59,87,79,68,68,77,92,83,84,0,0,1
298,5,4,6,4,5,3,2,3,2,6,4,4,4,5,3,5,33,86,31,93,70,54,67,55,81,62,60,1,0,0
299,7,7,7,7,7,4,5,5,3,4,7,7,7,7,6,6,91,91,100,91,91,91,91,90,80,80,100,0,1,1
300,5,3,5,4,4,6,3,5,2,6,2,3,3,2,2,2,22,84,92,83,91,86,61,29,58,64,66,1,1,1
301,5,6,6,5,4,6,3,5,1,5,5,3,6,5,4,3,100,100,100,100,100,100,75,60,60,81,80,1,0,1
302,5,5,5,4,4,2,2,2,1,2,3,3,3,4,4,3,71,59,75,62,77,71,63,45,62,59,58,1,0,1
303,5,5,5,5,4,5,5,5,3,4,3,4,4,5,4,5,70,64,68,64,67,64,58,45,60,56,60,0,0,1
304,6,6,6,4,4,2,2,2,1,4,4,4,4,4,2,4,50,100,100,100,100,100,81,81,50,50,50,0,0,1
305,4,4,5,5,4,6,6,7,3,7,3,3,3,3,4,3,99,97,99,99,99,93,91,86,98,95,97,0,1,1
306,3,3,3,3,3,4,4,4,3,4,3,2,3,3,2,3,70,91,76,90,91,88,68,80,80,72,75,1,1,1
307,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,100,100,100,100,100,100,91,99,91,100,91,1,0,0
308,5,5,6,4,1,2,3,3,1,2,6,5,5,5,6,5,100,100,100,100,100,100,87,96,99,99,98,0,1,0
309,4,3,4,4,4,5,6,6,6,6,5,2,3,4,5,4,72,62,97,57,90,89,75,65,53,55,54,1,1,0
310,4,4,4,4,4,4,3,5,5,5,6,5,5,5,5,5,60,61,64,70,68,63,71,59,66,59,69,1,1,1
311,7,7,7,7,7,2,2,2,2,2,2,2,2,4,2,2,90,92,95,91,91,91,86,88,89,89,88,1,1,0
312,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,4,65,65,60,61,62,65,67,58,66,60,62,1,0,1
313,7,7,7,7,7,1,1,2,1,1,5,2,3,5,4,4,100,45,95,98,98,97,96,76,32,72,71,0,1,0
314,5,4,5,5,5,1,3,3,1,3,7,5,5,6,6,4,80,60,90,90,71,80,50,49,70,69,59,1,0,0
315,3,3,4,3,1,3,6,4,5,6,3,3,2,3,4,3,80,61,70,76,81,84,79,69,44,65,70,0,1,1
316,5,4,6,6,6,6,6,5,6,6,5,4,4,5,6,4,100,100,100,100,100,100,100,100,100,100,100,1,1,1
317,5,4,5,5,5,2,2,2,1,2,5,5,5,5,5,4,70,70,70,60,70,70,60,60,60,60,60,0,0,0
318,3,4,3,3,2,5,5,4,4,5,4,2,4,3,2,3,80,61,63,64,77,69,66,67,66,58,62,1,1,0
319,6,5,5,6,5,3,6,3,6,6,5,5,6,5,5,6,72,64,67,71,74,75,76,76,81,80,87,1,1,0
320,6,6,6,6,5,3,2,3,4,4,2,2,3,4,4,3,100,95,91,94,91,92,83,61,58,65,69,1,1,1
321,5,6,7,6,5,6,7,2,2,6,4,2,2,4,5,3,69,89,100,60,82,50,70,61,50,80,80,1,0,1
322,3,5,4,3,4,4,5,5,4,5,4,4,5,5,3,5,91,90,90,90,91,90,70,70,60,69,60,1,0,1
323,5,6,5,5,5,4,4,3,2,6,7,7,7,7,7,7,81,90,90,71,90,90,100,100,100,100,100,1,1,1
324,5,7,6,6,4,6,6,6,1,6,2,1,1,7,4,2,100,100,100,100,100,100,100,70,70,100,100,0,0,1
325,4,5,5,4,4,5,6,5,3,5,7,6,6,7,7,6,100,100,100,91,91,91,100,100,100,100,91,0,1,1
326,6,6,7,5,6,5,6,5,3,5,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,100,100,1,1,1
327,7,7,7,7,7,1,1,2,1,2,3,1,3,4,2,2,97,100,100,100,100,100,90,80,81,91,100,0,1,0
328,3,3,4,3,3,5,5,5,3,5,3,3,4,3,5,2,85,95,98,71,80,91,86,97,84,80,94,1,0,1
329,5,4,5,5,2,6,6,6,6,6,5,3,6,5,5,2,77,100,100,80,90,90,98,96,100,90,91,1,0,1
330,6,6,7,5,5,1,1,2,2,2,5,1,2,5,2,2,100,100,100,100,99,100,80,69,59,90,80,1,1,1
331,7,6,7,7,6,2,2,2,1,2,3,1,1,4,4,2,81,80,80,81,81,85,75,74,63,76,85,1,1,0
332,6,6,6,6,5,1,1,1,1,1,5,5,5,5,4,4,90,80,90,91,90,90,75,55,55,75,66,0,0,0
333,4,7,6,4,4,1,6,1,1,2,7,7,7,7,7,7,100,100,100,100,100,100,100,90,90,100,95,0,0,1
334,3,5,5,5,2,6,5,5,6,7,3,3,3,3,5,5,75,91,91,72,84,88,59,60,60,81,64,0,1,1
335,4,3,4,4,4,5,3,4,5,7,5,4,5,6,4,4,100,100,100,100,100,100,100,100,79,100,100,0,1,0
336,4,4,5,5,6,3,3,3,3,4,4,5,6,5,5,3,73,64,84,58,56,41,58,73,58,61,82,1,1,0
337,5,4,5,4,4,5,6,6,4,5,5,5,5,5,4,5,81,82,83,83,84,87,66,68,52,51,76,0,1,1
338,5,5,6,5,5,6,5,6,5,6,4,4,4,4,4,4,100,100,100,100,100,100,100,100,100,100,100,1,1,0
339,7,4,6,7,7,6,4,5,5,6,1,3,7,7,4,3,100,100,100,100,100,91,99,100,90,100,100,0,1,1
340,6,6,5,7,4,2,5,4,1,7,2,2,2,4,4,3,91,100,100,28,91,90,91,91,100,100,100,1,0,1
341,4,2,5,4,3,4,6,5,5,6,6,6,6,6,3,4,87,88,96,90,93,86,100,100,81,89,92,0,1,1
342,4,3,5,4,5,4,5,5,4,5,3,3,3,4,4,4,70,50,60,81,70,71,50,60,50,59,59,1,1,1
343,5,5,5,6,6,2,2,2,2,3,4,1,1,4,1,4,97,97,94,79,87,91,70,70,66,63,63,1,1,1
344,4,3,3,3,3,6,6,6,4,5,3,3,3,2,2,3,80,78,85,83,77,70,77,75,83,70,76,0,1,1
345,7,6,6,6,6,1,1,1,1,2,5,3,5,6,5,2,90,80,90,70,91,69,61,61,41,79,71,0,1,0
346,7,7,7,7,7,1,1,1,1,2,2,1,2,4,4,3,100,100,100,100,100,100,91,81,80,91,100,1,1,1
347,6,6,1,5,5,1,1,2,1,1,5,5,5,5,4,4,91,100,100,100,100,98,100,93,80,100,95,1,0,0
348,4,7,5,5,4,1,2,4,1,4,7,7,7,7,7,7,100,100,100,100,100,100,100,100,89,100,100,0,0,1
349,7,7,7,7,7,2,6,5,2,4,3,4,4,4,3,3,100,100,100,86,100,91,100,100,86,100,97,0,1,0
350,5,7,7,7,6,5,5,5,3,6,6,7,6,7,6,7,96,89,81,91,92,99,94,96,98,99,90,0,1,0
351,6,4,4,5,4,6,6,6,5,6,2,5,6,5,5,6,100,100,100,100,100,100,97,81,92,100,100,0,0,1
352,7,6,7,6,6,5,4,4,4,5,3,2,3,4,2,4,100,91,100,80,100,91,81,100,75,99,98,1,1,1
353,7,6,7,7,1,1,1,1,1,2,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,100,100,0,0,0
354,6,7,6,6,5,5,4,5,5,6,3,3,4,4,4,4,100,100,100,100,100,100,100,100,100,100,100,0,1,1
355,7,7,6,6,7,1,4,4,2,5,4,1,1,4,4,1,100,100,100,100,100,100,100,100,75,100,100,1,1,0
356,6,1,5,6,4,1,1,1,1,1,4,5,5,4,4,4,91,90,91,59,90,70,80,70,60,80,86,1,0,1
357,5,5,5,5,5,3,4,3,2,4,4,4,4,4,4,4,100,100,100,100,100,100,80,66,66,74,73,1,1,1
358,6,6,6,6,6,1,1,1,1,1,2,2,4,4,2,2,100,100,100,100,100,100,100,100,100,100,100,1,0,0
359,3,4,6,4,3,2,5,5,1,7,1,1,3,4,1,4,100,100,100,30,100,100,60,50,50,69,100,1,0,0
360,5,2,6,6,3,6,6,6,5,6,6,2,6,6,5,2,100,94,100,100,100,100,93,92,69,93,91,1,0,1
361,7,7,7,7,7,5,5,4,2,5,4,4,6,6,1,4,100,100,90,100,100,100,100,100,91,100,100,0,0,0
362,5,5,3,4,5,2,2,2,2,2,5,5,5,5,4,4,100,75,100,99,72,73,100,93,94,100,99,0,0,1
363,6,7,6,6,5,2,6,3,1,3,6,7,6,6,3,5,81,81,90,82,61,40,92,90,91,89,81,0,0,0
364,6,6,3,3,5,3,6,5,5,5,6,5,5,5,5,5,70,60,71,59,70,80,81,81,71,80,69,0,1,0
365,5,5,5,5,4,1,1,2,1,3,2,3,2,3,2,2,72,82,85,77,83,82,79,88,74,78,90,0,1,0
366,4,3,4,4,4,5,5,5,3,6,4,3,4,4,4,4,96,95,96,96,96,96,96,96,100,96,96,1,1,1
367,4,2,4,2,4,4,2,3,2,7,5,5,5,4,4,4,96,30,94,95,94,98,99,100,5,99,100,0,0,1
368,3,4,5,5,4,5,6,4,3,3,5,5,6,6,4,5,53,89,60,90,65,58,88,75,69,88,80,0,1,1
369,7,7,7,7,4,5,6,5,4,5,6,4,6,7,7,4,100,60,100,100,100,100,100,100,100,100,90,1,0,1
370,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,70,70,70,59,70,70,80,70,60,81,80,0,0,1
371,1,7,7,7,7,1,1,1,1,1,7,7,7,7,7,7,100,100,100,100,100,100,100,100,100,100,100,1,0,0
372,7,3,7,7,6,4,4,4,1,6,5,4,6,7,4,4,29,81,81,81,100,71,79,81,81,100,100,0,0,0
373,5,5,4,5,1,6,7,6,2,6,4,2,5,5,1,3,97,96,98,100,58,39,61,56,93,39,62,0,0,1
374,3,3,2,5,3,7,5,6,2,6,4,3,5,5,5,6,91,71,71,91,80,71,90,85,50,89,84,1,1,1
375,6,6,6,7,6,4,6,1,1,3,6,6,6,6,1,3,98,99,97,100,100,100,97,94,67,11,95,1,1,1
376,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,7,100,100,100,96,100,100,100,100,100,100,100,1,1,0
377,4,6,5,4,4,2,2,3,1,2,5,4,6,6,3,4,90,54,86,24,91,64,59,81,87,67,72,0,1,0
378,4,5,5,4,5,1,1,1,1,1,5,4,4,4,3,4,83,76,76,77,77,85,86,76,77,81,81,1,0,0
379,6,6,6,6,1,1,1,1,1,1,5,5,5,5,2,2,100,91,91,100,100,81,100,100,94,100,100,0,0,1
380,6,6,5,6,5,4,4,4,3,4,6,5,5,6,5,4,80,81,81,90,80,80,59,60,50,59,81,0,0,1
381,5,6,4,4,1,5,5,4,5,5,5,1,1,6,1,1,91,91,90,91,91,91,91,91,90,91,91,1,0,1
382,4,4,6,5,5,5,5,5,3,5,3,3,3,4,2,3,80,80,90,90,90,100,100,91,100,100,100,0,0,0
383,5,6,5,5,5,2,2,2,3,6,2,1,3,6,3,2,100,100,100,100,100,100,81,65,75,80,75,1,1,1
384,5,6,5,6,4,5,5,3,2,4,1,2,1,4,3,4,82,60,54,94,74,63,85,94,50,73,58,0,0,0
385,7,6,7,7,7,1,1,1,1,1,7,4,2,6,7,7,100,95,100,80,100,81,60,80,55,100,70,1,1,0
386,5,5,5,5,4,5,6,6,4,7,5,5,5,5,4,4,100,100,100,100,100,100,100,100,91,100,100,0,1,1
387,4,4,4,4,4,5,4,5,2,6,5,5,5,5,5,4,100,100,100,100,100,100,100,100,91,100,100,0,0,1
388,5,6,5,5,3,5,6,5,2,7,6,6,6,7,6,6,100,100,100,100,100,100,100,100,91,100,100,0,1,1
389,5,6,7,7,6,1,1,1,1,1,6,7,6,7,7,7,72,81,74,89,77,83,73,84,77,80,92,0,1,0
390,5,5,7,6,6,3,5,1,1,5,6,6,7,6,3,4,91,90,96,97,96,95,50,66,62,83,83,0,1,1
391,3,4,6,4,6,3,1,5,1,2,2,2,5,5,2,3,89,72,65,73,62,55,72,63,81,73,90,0,0,0
392,6,7,7,6,6,4,5,5,4,5,6,6,7,7,7,5,92,100,100,100,99,100,92,90,79,95,96,1,0,1
393,4,2,6,6,5,1,1,1,1,1,5,4,5,5,3,3,89,78,90,84,88,83,93,90,92,72,86,0,0,0
394,6,6,6,6,5,5,5,5,5,6,4,4,4,4,4,4,100,100,100,100,100,100,100,100,91,100,100,1,1,1
395,6,5,7,5,5,1,1,1,1,1,2,2,2,3,4,4,96,96,100,98,97,96,97,96,98,97,98,1,0,0
396,4,5,5,5,4,5,5,5,2,5,3,3,3,4,3,3,100,100,100,100,100,100,75,65,65,100,86,1,1,1
397,4,4,5,5,4,4,6,5,4,6,4,2,4,4,2,2,100,100,100,100,100,100,97,100,50,100,100,0,0,0
398,7,7,7,7,7,1,1,1,1,1,3,2,3,5,4,1,100,100,100,100,100,100,100,100,100,100,100,1,1,0
399,7,7,7,7,7,1,1,1,1,1,2,2,2,4,4,4,100,100,100,100,100,100,100,100,100,100,100,1,0,0
400,5,3,4,3,4,3,5,5,2,6,3,4,3,3,4,3,67,76,55,80,63,83,69,77,63,83,100,0,0,1
401,7,4,7,7,6,4,7,4,3,4,3,3,3,4,4,3,98,100,100,100,100,100,100,100,100,100,100,0,1,1
402,4,4,4,3,5,6,5,6,6,7,6,3,3,5,6,5,90,80,91,71,72,95,90,73,82,88,93,1,1,1
403,5,4,5,5,4,2,2,1,1,4,3,2,3,3,2,1,81,60,100,91,100,100,100,91,81,80,90,0,1,1
404,6,6,7,5,6,2,2,1,1,2,4,4,4,4,2,4,100,100,100,100,100,100,100,76,50,67,83,1,0,1
405,7,7,7,7,7,1,1,1,1,1,3,3,4,4,2,2,100,100,100,100,100,100,100,99,100,100,99,0,0,0
406,4,4,4,4,4,6,7,5,5,5,4,4,4,4,3,3,90,90,84,84,90,90,90,96,82,96,94,1,0,1
407,1,7,7,7,7,1,1,1,1,1,7,7,7,7,7,7,98,95,96,96,93,96,99,97,97,95,98,0,0,0
408,7,6,7,7,6,4,6,4,1,6,7,7,7,7,6,7,100,100,100,100,100,100,100,100,100,100,100,1,0,1
409,4,4,4,4,3,3,2,5,2,6,3,3,5,5,4,5,91,91,91,61,90,61,80,61,42,60,58,1,1,1
410,4,5,5,4,5,2,6,2,1,3,3,3,5,4,4,2,91,90,90,60,80,70,70,59,59,50,49,1,0,1
411,4,4,4,4,3,4,4,6,2,5,2,2,2,5,4,5,87,78,86,95,96,89,60,71,66,68,65,1,0,1
412,4,4,6,5,5,5,6,5,6,6,5,5,6,7,4,4,100,100,100,91,100,100,97,92,92,100,100,1,1,1
413,7,6,7,7,6,5,5,5,4,4,7,7,7,7,3,5,100,100,100,100,100,100,100,100,100,100,100,1,1,1
414,5,5,6,6,5,3,5,3,2,4,6,2,6,5,1,4,76,68,69,72,80,78,50,55,50,69,66,0,0,0
415,5,6,5,5,4,5,6,5,3,5,5,6,5,5,1,4,99,98,100,97,97,76,70,71,70,74,74,1,0,1
416,6,6,6,6,5,2,4,4,2,3,5,5,5,6,5,6,69,70,70,71,70,69,59,60,55,79,80,0,1,1
417,5,5,6,5,4,3,2,3,2,3,4,3,5,5,3,3,64,72,73,59,84,55,56,61,50,70,60,1,0,0
418,4,4,4,4,3,4,4,5,2,5,4,4,4,6,5,5,100,100,100,100,100,91,91,91,70,91,100,1,0,0
419,6,7,7,5,5,2,2,1,1,2,3,4,4,4,2,3,71,73,77,86,69,64,65,77,61,73,69,0,1,0
420,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,7,73,89,100,89,76,88,88,97,91,80,99,1,1,0
421,7,7,6,7,6,1,5,2,1,3,2,1,4,3,3,2,96,100,100,57,100,95,90,96,82,95,98,1,0,0
422,7,7,7,7,7,2,6,2,1,7,7,7,7,7,7,7,96,100,100,96,100,100,100,100,95,100,100,0,0,1
423,4,7,6,7,5,5,6,6,2,6,7,6,7,7,6,5,91,79,91,91,71,99,92,94,85,93,88,1,0,0
424,5,5,5,3,4,4,5,5,5,5,6,6,6,6,6,4,100,100,100,100,100,100,90,100,100,96,96,1,0,0
425,6,5,6,6,6,5,7,5,1,7,6,5,6,7,7,6,100,100,100,100,100,100,90,100,100,90,90,1,0,1
426,7,7,7,7,7,4,4,4,4,4,6,6,6,6,6,6,100,100,100,100,100,100,91,91,91,91,100,0,0,1
427,7,7,7,7,6,1,1,2,1,2,7,7,7,7,7,4,60,81,100,40,97,100,100,81,50,100,70,1,0,0
428,7,7,7,7,7,1,1,1,1,1,4,1,4,4,4,1,100,100,100,100,100,100,91,100,60,100,100,1,0,0
429,4,4,5,5,5,2,2,3,2,3,4,2,4,4,3,3,100,100,100,81,100,90,100,100,100,100,100,0,0,0
430,5,6,6,6,1,3,2,1,2,4,5,2,3,6,3,4,75,89,100,34,74,62,85,98,100,62,76,0,1,0
431,3,4,3,4,3,4,4,5,3,6,5,5,5,5,6,5,86,88,83,93,75,64,76,73,78,74,67,1,1,1
432,4,6,3,4,3,3,5,5,1,5,2,1,5,5,4,1,80,100,81,60,100,100,70,50,40,70,91,1,1,0
433,7,7,7,7,4,2,2,2,1,1,4,2,3,3,1,3,100,80,91,77,100,90,92,97,98,90,97,0,0,0
434,7,7,7,7,7,1,1,1,1,1,7,7,7,7,4,4,100,100,100,100,100,100,81,70,80,100,80,1,0,0
435,6,6,6,6,6,3,4,4,1,3,3,2,3,3,3,2,92,91,91,91,90,81,81,60,50,81,81,1,1,0
436,5,5,5,5,5,4,5,3,2,5,5,4,5,5,4,4,81,81,81,81,80,82,56,61,60,60,59,1,1,0
437,4,4,4,4,4,2,2,3,2,3,5,4,5,5,3,5,100,100,100,70,100,100,60,81,100,91,91,0,1,0
438,6,6,6,6,6,1,1,2,1,2,4,1,1,3,3,3,100,100,100,100,100,100,100,100,73,100,100,1,1,1
439,4,4,4,5,4,5,3,6,3,5,6,3,6,6,6,6,100,100,100,100,100,100,100,100,71,100,100,0,0,1
440,7,6,7,7,7,2,2,2,1,4,3,2,2,5,2,2,100,100,100,60,100,100,81,90,66,91,91,1,0,0
441,5,6,6,6,5,6,2,2,2,2,6,5,6,7,6,6,67,82,74,73,76,57,73,91,73,73,95,1,1,1
